prov,latitude,longitude,source
gbif,20.114368,-98.84046,gbif
gbif,21.363368,-99.790796,gbif
gbif,21.963142,-101.027494,gbif
gbif,20.892647,-101.274687,gbif
gbif,20.657778,-100.138193,gbif
gbif,20.668228,-100.112053,gbif
gbif,20.447639,-100.277872,gbif
gbif,20.710182,-100.430131,gbif
gbif,20.428065,-100.888042,gbif
gbif,20.429353,-100.885813,gbif
gbif,20.42844,-100.887448,gbif
gbif,20.430027,-100.880937,gbif
gbif,20.430008,-100.880932,gbif
gbif,20.062638,-101.315267,gbif
gbif,20.430172,-100.877468,gbif
gbif,20.21806,-100.622212,gbif
gbif,20.219718,-100.612227,gbif
gbif,20.429098,-100.883028,gbif
gbif,21.223352,-101.686183,gbif
gbif,22.148734,-101.054912,gbif
gbif,16.957222,-96.446111,gbif
gbif,19.484176,-101.362861,gbif
gbif,20.756055,-99.716036,gbif
gbif,19.492214,-102.255187,gbif
gbif,21.867267,-101.592585,gbif
gbif,19.485084,-101.357468,gbif
gbif,19.334718,-99.189038,gbif
gbif,21.946667,-102.120556,gbif
gbif,21.16786,-102.890188,gbif
gbif,21.837408,-101.145338,gbif
gbif,21.002995,-100.195698,gbif
gbif,20.988035,-101.917092,gbif
gbif,20.988033,-101.917122,gbif
gbif,19.584235,-99.110204,gbif
gbif,19.065886,-98.39654,gbif
gbif,19.70595,-101.194983,gbif
gbif,19.257972,-99.138292,gbif
gbif,19.991669,-99.167173,gbif
gbif,19.991075,-99.167597,gbif
gbif,25.388438,-100.79584,gbif
gbif,19.257538,-99.138572,gbif
gbif,18.98449,-98.336992,gbif
gbif,28.371576,-108.926899,gbif
gbif,21.108159,-102.988633,gbif
gbif,22.078388,-101.149665,gbif
gbif,22.07838,-101.149606,gbif
gbif,22.078413,-101.14952,gbif
gbif,22.078603,-101.149734,gbif
gbif,22.0782,-101.149762,gbif
gbif,22.082393,-101.097228,gbif
gbif,22.572805,-102.338377,gbif
gbif,22.587917,-102.398761,gbif
gbif,22.82411,-103.410301,gbif
gbif,20.202767,-99.521547,gbif
gbif,21.177843,-99.946069,gbif
gbif,18.977149,-98.316493,gbif
gbif,22.778807,-102.543703,gbif
gbif,19.013932,-98.468397,gbif
gbif,25.354097,-100.347023,gbif
gbif,21.005326,-103.164769,gbif
gbif,19.647418,-101.40554,gbif
gbif,19.368885,-99.736506,gbif
gbif,21.918333,-102.260324,gbif
gbif,22.733297,-102.551725,gbif
gbif,22.126891,-102.279255,gbif
gbif,21.309252,-99.834518,gbif
gbif,20.188597,-100.145118,gbif
gbif,17.046725,-97.620699,gbif
gbif,20.846267,-100.720672,gbif
gbif,22.630516,-104.214381,gbif
gbif,28.957774,-108.483192,gbif
gbif,25.251162,-100.814758,gbif
gbif,21.143407,-102.983159,gbif
gbif,19.78747,-98.549614,gbif
gbif,22.779886,-102.524612,gbif
gbif,24.397835,-103.80554,gbif
gbif,20.238836,-100.097773,gbif
gbif,21.362554,-99.791246,gbif
gbif,19.249522,-99.141678,gbif
gbif,20.92002,-99.745439,gbif
gbif,20.253398,-100.549172,gbif
gbif,20.717468,-101.224191,gbif
gbif,21.135662,-101.547524,gbif
gbif,21.129136,-103.00611,gbif
gbif,21.398301,-101.648277,gbif
gbif,20.762822,-99.750889,gbif
gbif,19.669178,-101.172564,gbif
gbif,19.647555,-101.405963,gbif
gbif,19.940215,-99.983509,gbif
gbif,19.623066,-98.875556,gbif
gbif,18.907166,-98.310958,gbif
gbif,18.642814,-97.858767,gbif
gbif,21.188698,-102.717636,gbif
gbif,23.095257,-100.851509,gbif
gbif,20.47318,-101.7466,gbif
gbif,21.389484,-101.64241,gbif
gbif,21.390426,-101.653747,gbif
gbif,21.921687,-101.86635,gbif
gbif,21.914781,-101.850253,gbif
gbif,20.477404,-101.753099,gbif
gbif,20.02325,-99.092927,gbif
gbif,20.80012,-101.033712,gbif
gbif,18.93512,-98.284404,gbif
gbif,25.253802,-101.058607,gbif
gbif,21.211744,-103.014579,gbif
gbif,21.200325,-101.558212,gbif
gbif,20.786637,-102.07959,gbif
gbif,19.500763,-97.449888,gbif
gbif,21.252483,-102.942237,gbif
gbif,20.016902,-99.123432,gbif
gbif,20.445134,-100.290795,gbif
gbif,21.608919,-100.402698,gbif
gbif,17.696443,-97.200278,gbif
gbif,20.729293,-101.125408,gbif
gbif,21.082386,-101.133569,gbif
gbif,18.993096,-98.472727,gbif
gbif,19.367384,-99.25571,gbif
gbif,17.705668,-97.322866,gbif
gbif,19.467098,-98.10352,gbif
gbif,18.888604,-98.284995,gbif
gbif,21.195556,-101.705555,gbif
gbif,21.001918,-101.253669,gbif
gbif,20.809458,-100.522842,gbif
gbif,19.422967,-97.403162,gbif
gbif,19.422987,-97.403204,gbif
gbif,19.422984,-97.403076,gbif
gbif,24.52485,-98.963901,gbif
gbif,19.949692,-99.66908,gbif
gbif,20.918058,-99.720534,gbif
gbif,20.064391,-99.601562,gbif
gbif,19.89951,-99.188947,gbif
gbif,20.129487,-100.148195,gbif
gbif,21.090879,-101.467035,gbif
gbif,21.164934,-103.019744,gbif
gbif,19.324431,-99.178019,gbif
gbif,16.954374,-96.474323,gbif
gbif,20.554347,-100.3611,gbif
gbif,20.807222,-100.116944,gbif
gbif,21.56281,-100.459859,gbif
gbif,23.690824,-100.887864,gbif
gbif,20.790081,-102.086762,gbif
gbif,20.352649,-100.961446,gbif
gbif,19.324484000000002,-99.177568,gbif
gbif,19.704197,-99.313018,gbif
gbif,21.182857,-102.906726,gbif
gbif,21.151638,-102.990829,gbif
gbif,19.591536,-99.074817,gbif
gbif,22.254561,-103.346214,gbif
gbif,22.278512,-102.859703,gbif
gbif,22.777583,-102.566008,gbif
gbif,20.368212,-104.992692,gbif
gbif,20.009314,-99.122425,gbif
gbif,20.024946,-99.132144,gbif
gbif,21.848079,-101.84445,gbif
gbif,17.852848,-97.356862,gbif
gbif,19.944141,-102.212074,gbif
gbif,28.591421,-106.054004,gbif
gbif,21.332901,-101.798548,gbif
gbif,20.655563,-102.247855,gbif
gbif,19.623375,-101.273801,gbif
gbif,22.151483,-101.053126,gbif
gbif,21.35519,-103.53538,gbif
gbif,21.174472,-102.869936,gbif
gbif,18.953078,-99.502669,gbif
gbif,20.678247,-99.798342,gbif
gbif,19.062743,-98.350951,gbif
gbif,22.150872,-101.054689,gbif
gbif,22.150847,-101.054803,gbif
gbif,17.394932,-97.345946,gbif
gbif,19.345995,-98.224633,gbif
gbif,21.777586,-102.523758,gbif
gbif,20.719262,-99.647976,gbif
gbif,20.798111,-100.45184,gbif
gbif,20.515347,-99.91852,gbif
gbif,19.653497,-101.209352,gbif
gbif,19.896377,-99.201373,gbif
gbif,19.89637,-99.201387,gbif
gbif,19.319623,-99.193538,gbif
gbif,19.660517,-101.12984,gbif
gbif,19.31889,-99.184368,gbif
gbif,19.637497,-101.152905,gbif
gbif,23.639225,-100.79663,gbif
gbif,18.586454,-97.255445,gbif
gbif,19.63443,-101.220991,gbif
gbif,19.32296,-99.191887,gbif
gbif,23.638416,-100.794666,gbif
gbif,19.072244,-98.353609,gbif
gbif,20.690039,-99.810683,gbif
gbif,19.33242,-99.182953,gbif
gbif,23.637961,-100.794644,gbif
gbif,20.805767,-100.509637,gbif
gbif,19.021933,-98.132735,gbif
gbif,19.641944,-101.227222,gbif
gbif,20.372143,-99.713538,gbif
gbif,20.398184,-99.759255,gbif
gbif,19.640222,-101.224867,gbif
gbif,18.916441,-98.247307,gbif
gbif,19.591712,-99.054395,gbif
gbif,18.986741,-98.331774,gbif
gbif,18.95801,-98.031397,gbif
gbif,21.423191,-101.905213,gbif
gbif,23.639195,-100.796693,gbif
gbif,21.312487,-99.834397,gbif
gbif,23.63998,-100.797442,gbif
gbif,19.322918,-99.192352,gbif
gbif,19.772142,-99.255599,gbif
gbif,22.265635,-100.775369,gbif
gbif,19.361791,-98.340188,gbif
gbif,20.910151,-99.721174,gbif
gbif,19.33678,-99.187852,gbif
gbif,19.07661,-98.398072,gbif
gbif,19.061281,-98.34005,gbif
gbif,17.904173,-97.350961,gbif
gbif,18.959438,-98.015773,gbif
gbif,22.060777,-100.614636,gbif
gbif,22.214265,-100.800047,gbif
gbif,22.213645,-100.799729,gbif
gbif,22.06063,-100.61563,gbif
gbif,20.5353,-99.878747,gbif
gbif,19.003275,-99.101213,gbif
gbif,20.344203,-99.789887,gbif
gbif,17.649383,-97.137413,gbif
gbif,22.08809,-101.261654,gbif
gbif,22.629129,-100.495487,gbif
gbif,21.952387,-101.918521,gbif
gbif,19.400618,-98.325078,gbif
gbif,20.991578,-101.250603,gbif
gbif,22.123445,-101.011527,gbif
gbif,20.568163,-99.912583,gbif
gbif,20.120538,-99.812044,gbif
gbif,20.120522,-99.81184,gbif
gbif,20.679688,-99.795548,gbif
gbif,19.485995,-101.360712,gbif
gbif,31.232848,-109.42264,gbif
gbif,20.462986,-99.233772,gbif
gbif,19.323372,-99.192711,gbif
gbif,19.009142,-99.095284,gbif
gbif,19.31301,-99.19645,gbif
gbif,19.311357,-99.195508,gbif
gbif,17.231533,-96.495925,gbif
gbif,19.064673,-98.379611,gbif
gbif,19.319729,-99.193518,gbif
gbif,20.797609,-100.552999,gbif
gbif,20.471144,-99.459084,gbif
gbif,21.10814,-102.988687,gbif
gbif,21.149971,-102.946149,gbif
gbif,20.67575,-100.38382,gbif
gbif,22.199722,-103.665833,gbif
gbif,22.774696,-102.539069,gbif
gbif,17.648819,-97.124667,gbif
gbif,20.798031,-100.552193,gbif
gbif,19.322893,-99.192418,gbif
gbif,20.34395,-99.789673,gbif
gbif,21.17399,-102.87012,gbif
gbif,18.17512,-97.475767,gbif
gbif,16.378854,-96.334731,gbif
gbif,21.2053,-99.731597,gbif
gbif,19.324608,-99.179667,gbif
gbif,19.339364,-98.261522,gbif
gbif,19.325003,-99.178017,gbif
gbif,19.323174,-99.192257,gbif
gbif,29.879728,-110.388877,gbif
gbif,30.468,-110.811584,gbif
gbif,29.877041,-110.394463,gbif
gbif,29.87986,-110.385674,gbif
gbif,18.584164,-99.676225,gbif
gbif,21.173009,-101.057558,gbif
gbif,20.022024,-99.091508,gbif
gbif,18.89121,-97.968546,gbif
gbif,19.311342,-99.195542,gbif
gbif,19.036156,-99.0802,gbif
gbif,19.431955,-98.193393,gbif
gbif,20.136976,-98.73993,gbif
gbif,21.919427,-101.88425,gbif
gbif,20.182966,-100.689713,gbif
gbif,19.474127,-98.082873,gbif
gbif,22.176631,-102.588041,gbif
gbif,20.799747,-99.723472,gbif
gbif,19.323094,-99.193396,gbif
gbif,20.672171,-100.108513,gbif
gbif,18.960353,-98.333514,gbif
gbif,20.501627,-100.318722,gbif
gbif,21.820278,-102.5275,gbif
gbif,21.542692,-100.371039,gbif
gbif,21.532989,-100.394469,gbif
gbif,19.074558,-98.343178,gbif
gbif,22.757216,-101.679175,gbif
gbif,21.949482,-100.62656,gbif
gbif,21.949505,-100.626579,gbif
gbif,20.330504,-99.996662,gbif
gbif,21.986348,-101.004181,gbif
gbif,19.329997,-97.451323,gbif
gbif,21.520971,-100.370264,gbif
gbif,20.777113,-100.64228,gbif
gbif,22.092573,-100.651707,gbif
gbif,21.142896,-102.991596,gbif
gbif,19.312685,-99.198042,gbif
gbif,19.731768,-101.085884,gbif
gbif,21.009667,-101.227255,gbif
gbif,20.508261,-100.311578,gbif
gbif,25.318376,-100.212822,gbif
gbif,20.27011,-98.366009,gbif
gbif,21.615768,-100.739105,gbif
gbif,19.344859,-98.26799,gbif
gbif,22.777145,-102.56261,gbif
gbif,21.405954,-99.78255,gbif
gbif,20.523674,-101.709938,gbif
gbif,20.490913,-101.737898,gbif
gbif,21.470871,-101.007385,gbif
gbif,20.579258,-101.851123,gbif
gbif,19.000053,-99.100548,gbif
gbif,21.319692,-101.548614,gbif
gbif,19.322454,-99.192254,gbif
gbif,18.427502,-97.7742,gbif
gbif,20.748425,-99.945113,gbif
gbif,20.188797,-100.649947,gbif
gbif,21.27112,-102.306825,gbif
gbif,22.032531,-100.936333,gbif
gbif,20.048429,-102.816371,gbif
gbif,18.17402,-97.461004,gbif
gbif,21.838516,-101.817209,gbif
