name,longitude,latitude,scientificName,year,month,day,eventDate,individualCount,elevation,stateProvince,countryCode
Asclepias linaria Cav.,-110.9879,33.7629,Asclepias linaria Cav.,1984,8,18,1984-08-18,NA,1463,Arizona,US
Asclepias linaria Cav.,-110.9879,33.7629,Asclepias linaria Cav.,1984,8,18,1984-08-18,NA,1463,Arizona,US
Asclepias linaria Cav.,-110.986882,33.765132,Asclepias linaria Cav.,1984,8,18,1984-08-18,NA,1463,Arizona,US
Asclepias linaria Cav.,-111.581735,31.746029,Asclepias linaria Cav.,1982,3,29,1982-03-29,NA,1150,Arizona,US
Asclepias linaria Cav.,-110.6935,32.338833,Asclepias linaria Cav.,1982,6,12,1982-06-12,NA,1280,Arizona,US
Asclepias linaria Cav.,-110.515306,31.724111,Asclepias linaria Cav.,1982,6,16,1982-06-16,NA,1501,Arizona,US
Asclepias linaria Cav.,-111.5207,31.9883,Asclepias linaria Cav.,1982,9,17,1982-09-17,NA,1280,Arizona,US
Asclepias linaria Cav.,-111.521,31.988,Asclepias linaria Cav.,1982,9,17,1982-09-17,NA,1280,Arizona,US
Asclepias linaria Cav.,-112.693485,32.012844,Asclepias linaria Cav.,1981,3,10,1981-03-10,NA,1000,Arizona,US
Asclepias linaria Cav.,-110.69667,32.33694,Asclepias linaria Cav.,1981,4,25,1981-04-25,NA,1375,Arizona,US
Asclepias linaria Cav.,-110.70472,32.43028,Asclepias linaria Cav.,1981,4,23,1981-04-23,NA,1249,Arizona,US
Asclepias linaria Cav.,-111.521,31.988,Asclepias linaria Cav.,1981,6,24,1981-06-24,NA,1158,Arizona,US
Asclepias linaria Cav.,-110.311059,32.459141,Asclepias linaria Cav.,1981,8,5,1981-08-05,NA,1265,Arizona,US
Asclepias linaria Cav.,-111.56475,31.746028,Asclepias linaria Cav.,1981,12,20,1981-12-20,NA,NA,Arizona,US
Asclepias linaria Cav.,-112.706,32.114,Asclepias linaria Cav.,1979,2,17,1979-02-17,NA,1097,Arizona,US
Asclepias linaria Cav.,-110,31.5,Asclepias linaria Cav.,1979,8,23,1979-08-23,NA,1707,Arizona,US
Asclepias linaria Cav.,-109.978931,31.478801,Asclepias linaria Cav.,1979,8,18,1979-08-18,NA,1706.5,Arizona,US
Asclepias linaria Cav.,-110.10868,32.022285,Asclepias linaria Cav.,1979,9,1,1979-09-01,NA,1463,Arizona,US
Asclepias linaria Cav.,-111.346,33.4151,Asclepias linaria Cav.,1978,2,20,1978-02-20,NA,1067,Arizona,US
Asclepias linaria Cav.,-110.926479,32.439434,Asclepias linaria Cav.,1978,4,14,1978-04-14,NA,NA,Arizona,US
Asclepias linaria Cav.,-111.076,33.1186,Asclepias linaria Cav.,1977,4,26,1977-04-26,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.12,32.0285,Asclepias linaria Cav.,1977,6,30,1977-06-30,NA,1646,Arizona,US
Asclepias linaria Cav.,-109.406,32.96,Asclepias linaria Cav.,1977,6,28,1977-06-28,NA,1219,Arizona,US
Asclepias linaria Cav.,-109.406,32.96,Asclepias linaria Cav.,1977,6,28,1977-06-28,NA,1219,Arizona,US
Asclepias linaria Cav.,-110.520351,32.911326,Asclepias linaria Cav.,1976,11,6,1976-11-06,NA,872,Arizona,US
Asclepias linaria Cav.,-109.356,32.0044,Asclepias linaria Cav.,1975,3,18,1975-03-18,NA,1676,Arizona,US
Asclepias linaria Cav.,-109.356,32.0044,Asclepias linaria Cav.,1975,6,8,1975-06-08,NA,1676,Arizona,US
Asclepias linaria Cav.,-111.35944,33.38028,Asclepias linaria Cav.,1974,7,27,1974-07-27,NA,975,Arizona,US
Asclepias linaria Cav.,-111.55,32,Asclepias linaria Cav.,1973,4,28,1973-04-28,NA,NA,Arizona,US
Asclepias linaria Cav.,-111.632,31.7895,Asclepias linaria Cav.,1973,4,12,1973-04-12,NA,1128,Arizona,US
Asclepias linaria Cav.,-111.6327,31.789514,Asclepias linaria Cav.,1973,4,12,1973-04-12,NA,NA,Arizona,US
Asclepias linaria Cav.,-111.632222,31.790833,Asclepias linaria Cav.,1973,4,12,1973-04-12,NA,1128,Arizona,US
Asclepias linaria Cav.,-111.632543,31.789341,Asclepias linaria Cav.,1973,4,12,1973-04-12,NA,NA,Arizona,US
Asclepias linaria Cav.,-111.632,31.7895,Asclepias linaria Cav.,1973,4,12,1973-04-12,NA,1128,Arizona,US
Asclepias linaria Cav.,-111.151344,31.576028,Asclepias linaria Cav.,1972,1,29,1972-01-29,NA,1280,Arizona,US
Asclepias linaria Cav.,-117.31944,33.97,Asclepias linaria Cav.,1972,4,25,1972-04-25,NA,400,California,US
Asclepias linaria Cav.,-108.984954,31.570854,Asclepias linaria Cav.,1972,9,23,1972-09-23,NA,1463,New Mexico,US
Asclepias linaria Cav.,-110.35444,32.95722,Asclepias linaria Cav.,1970,4,23,1970-04-23,NA,1189,Arizona,US
Asclepias linaria Cav.,-110.780588,32.344293,Asclepias linaria Cav.,1969,4,18,1969-04-18,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.755875,32.428541,Asclepias linaria Cav.,1969,4,18,1969-04-18,NA,NA,Arizona,US
Asclepias linaria Cav.,-109.367,35,Asclepias linaria Cav.,1967,4,8,1967-04-08,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.784029,32.489851,Asclepias linaria Cav.,1967,4,6,1967-04-06,NA,1524,Arizona,US
